;Value;Score
NACOnto;0.9464285714285714;1
NOCOnto;3.8823529411764706;4
CBOOnto;0.9041095890410958;1
RFCOnto;0.9041095890410958;1
NOMOnto;0.0;5
RROnto;1.0;5
PROnto;0.0;1
AROnto;4.191780821917808;5
INROnto;0.9041095890410958;5
ANOnto;2.8219178082191783;5
TMOnto2;0.9041095890410958;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.0;1
NOCOnto;2.5;5
CBOOnto;0.0;1
RFCOnto;0.0;1
NOMOnto;0.0;5
RROnto;1.0;5
PROnto;0.0;1
AROnto;3.1818181818181817;5
INROnto;0.45454545454545453;3
ANOnto;1.9090909090909092;5
TMOnto2;0.0;5
